Sub,Trial,img,type,RT,Reaction
8-zhaoshan,5,8,2,11155.064,0
8-zhaoshan,6,14,1,6847.13,1
8-zhaoshan,7,21,2,10956.201,0
8-zhaoshan,8,38,1,7192.707,1
8-zhaoshan,9,48,2,6865.492,1
8-zhaoshan,10,17,2,8400.782,1
8-zhaoshan,11,43,1,4533.705,0
8-zhaoshan,12,12,1,6498.14,1
8-zhaoshan,13,9,2,3123.55,1
8-zhaoshan,14,7,1,7054.352,1
8-zhaoshan,15,11,2,12794.258,0
8-zhaoshan,16,41,2,4695.11,1
8-zhaoshan,17,19,1,6312.89,1
8-zhaoshan,18,28,1,6314.941,1
8-zhaoshan,19,47,1,2373.512,0
8-zhaoshan,20,40,1,7559.056,1
8-zhaoshan,21,15,2,7349.926,0
8-zhaoshan,22,35,2,5095.298,0
8-zhaoshan,23,46,1,3039.168,0
8-zhaoshan,24,18,2,2350.274,0
8-zhaoshan,25,29,1,6669.753,1
8-zhaoshan,26,3,1,6598.375,1
8-zhaoshan,27,5,2,2612.422,0
8-zhaoshan,28,27,2,1661.577,0
8-zhaoshan,29,34,2,7638.192,0
8-zhaoshan,30,4,2,2630.538,0
8-zhaoshan,31,26,1,3546.756,1
8-zhaoshan,32,45,1,1387.864,0
8-zhaoshan,33,25,2,3867.368,1
8-zhaoshan,34,42,2,1834.361,0
8-zhaoshan,35,13,2,5405.315,1
8-zhaoshan,36,16,2,6722.488,1
8-zhaoshan,37,33,1,2549.222,1
8-zhaoshan,38,10,2,2209.043,0
8-zhaoshan,39,36,2,5703.062,0
8-zhaoshan,40,44,1,2629.207,0
8-zhaoshan,41,24,1,9189.133,1
8-zhaoshan,42,20,1,6450.775,1
8-zhaoshan,43,37,1,3390.4,1
8-zhaoshan,44,1,2,3036.6,1
8-zhaoshan,45,2,1,1743.734,0
8-zhaoshan,46,39,1,7062.548,0
8-zhaoshan,47,6,2,1554.785,0
8-zhaoshan,48,31,2,3762.164,0
